Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Boll_High,Boll_Low
2018-01-02,40.38099670410156,40.390375462792754,39.67774003409455,39.888719181265685,102223600,40.86718196868897,40.38099670410156,63.44271328786276,-0.8206227573302911,-0.5627977312216652,42.402522833609545,39.33184110376839
2018-01-03,40.37395477294922,40.917808184692305,40.310664263179795,40.44428113852945,118071600,40.86718196868897,40.380326043991815,63.44271328786276,-0.8206227573302911,-0.5627977312216652,42.402522833609545,39.33184110376839
2018-01-04,40.561500549316406,40.66464543398791,40.33880331756572,40.44663400466889,89738400,40.86718196868897,40.397580758784635,63.44271328786276,-0.8206227573302911,-0.5627977312216652,42.402522833609545,39.33184110376839
2018-01-05,41.02330017089844,41.11003400377929,40.56618411295515,40.65760732454381,94640000,40.86718196868897,40.457173083747854,63.44271328786276,-0.8206227573302911,-0.5627977312216652,42.402522833609545,39.33184110376839
2018-01-08,40.87093734741211,41.1663038787812,40.77247826000714,40.87093734741211,82271200,40.86718196868897,40.49657920409683,63.44271328786276,-0.8206227573302911,-0.5627977312216652,42.402522833609545,39.33184110376839
2018-01-09,40.866249084472656,41.037373887540824,40.65058411611103,40.91782153092313,86336000,40.86718196868897,40.53178585937072,63.44271328786276,-0.8206227573302911,-0.5627977312216652,42.402522833609545,39.33184110376839
2018-01-10,40.85686492919922,40.8592114072408,40.55446614853844,40.59197402772143,95839600,40.86718196868897,40.56274577078296,63.44271328786276,-0.8206227573302911,-0.5627977312216652,42.402522833609545,39.33184110376839
2018-01-11,41.08894729614258,41.13817684234306,40.903757926423964,40.9271976718466,74670800,40.86718196868897,40.61286020176959,63.44271328786276,-0.8206227573302911,-0.5627977312216652,42.402522833609545,39.33184110376839
2018-01-12,41.51324462890625,41.57653873724275,41.1756808203766,41.29992255866199,101672400,40.86718196868897,40.698611099592135,63.44271328786276,-0.8206227573302911,-0.5627977312216652,42.402522833609545,39.33184110376839
2018-01-16,41.302268981933594,42.05240879047136,41.29054732085747,41.703123321316056,118263600,40.86718196868897,40.756102326481795,63.44271328786276,-0.8206227573302911,-0.5627977312216652,42.402522833609545,39.33184110376839
2018-01-17,41.98442840576172,42.01958981164469,41.03972048025275,41.29288975650762,137547200,40.86718196868897,40.873085762603694,63.44271328786276,-0.8206227573302911,-0.5627977312216652,42.402522833609545,39.33184110376839
2018-01-18,42.021934509277344,42.21884912148526,41.785172686664595,42.04772073367666,124773600,40.86718196868897,40.982499928953565,63.44271328786276,-0.8206227573302911,-0.5627977312216652,42.402522833609545,39.33184110376839
2018-01-19,41.83440017700195,42.096948211104824,41.58825960655617,41.86956158265905,129700400,40.86718196868897,41.063633285910555,63.44271328786276,-0.8206227573302911,-0.5627977312216652,42.402522833609545,39.33184110376839
